,implementation,size,rep,time
16,biotite 1.0.1,600,1,0.3560366630554199
17,biotite 1.0.1,600,2,0.3405969142913818
18,biotite 1.0.1,800,0,0.8553752899169922
19,biotite 1.0.1,800,1,0.8620781898498535
20,biotite 1.0.1,800,2,0.8560147285461426
21,biotite 1.0.1,1000,0,1.6608924865722656
22,biotite 1.0.1,1000,1,1.72404146194458
23,biotite 1.0.1,1000,2,1.709601879119873
24,biotite 1.0.1,1200,0,3.010531187057495
25,biotite 1.0.1,1200,1,2.996953010559082
26,biotite 1.0.1,1200,2,3.0172626972198486
27,biotite 1.0.1,1400,0,4.765368461608887
28,biotite 1.0.1,1400,1,4.811458587646484
29,biotite 1.0.1,1400,2,4.776254892349243
30,biotite 1.0.1,1600,0,7.238303184509277
31,biotite 1.0.1,1600,1,7.275911569595337
32,biotite 1.0.1,1600,2,7.196364164352417
33,biotite 1.0.1,1800,0,10.375266075134276
34,biotite 1.0.1,1800,1,10.47525191307068
35,biotite 1.0.1,1800,2,10.535284519195557
36,biotite 1.0.1,2000,0,14.63147759437561
37,biotite 1.0.1,2000,1,14.732206583023071
38,biotite 1.0.1,2000,2,14.577170372009276
39,biotite 1.0.1,2200,0,20.39857769012451
40,biotite 1.0.1,2200,1,19.365339756011963
41,biotite 1.0.1,2200,2,19.441647052764893
42,biotite 1.0.1,2400,0,25.974016666412357
43,biotite 1.0.1,2400,1,26.027459859848022
44,biotite 1.0.1,2400,2,25.77521562576294
45,biotite 1.0.1,2600,0,33.61976742744446
46,biotite 1.0.1,2600,1,34.03235149383545
47,biotite 1.0.1,2600,2,33.55354690551758
48,biotite 1.0.1,2800,0,43.39831972122192
49,biotite 1.0.1,2800,1,43.790069580078125
50,biotite 1.0.1,2800,2,43.32087826728821
51,biotite 1.0.1,3000,0,55.10798621177673
52,biotite 1.0.1,3000,1,55.213557958602905
53,biotite 1.0.1,3000,2,56.48718333244324
0,anjl 1.1.1 canonical_nj,50,0,0.0001747608184814
1,anjl 1.1.1 canonical_nj,50,1,0.0001380443572998
2,anjl 1.1.1 canonical_nj,50,2,0.0001389980316162
3,anjl 1.1.1 canonical_nj,100,0,0.000767707824707
4,anjl 1.1.1 canonical_nj,100,1,0.0004825592041015
5,anjl 1.1.1 canonical_nj,100,2,0.000472068786621
6,anjl 1.1.1 canonical_nj,150,0,0.0012462139129638
7,anjl 1.1.1 canonical_nj,150,1,0.0020778179168701
8,anjl 1.1.1 canonical_nj,150,2,0.0020625591278076
9,anjl 1.1.1 canonical_nj,200,0,0.0029499530792236
10,anjl 1.1.1 canonical_nj,200,1,0.002648115158081
11,anjl 1.1.1 canonical_nj,200,2,0.0027623176574707
12,anjl 1.1.1 canonical_nj,400,0,0.0164055824279785
13,anjl 1.1.1 canonical_nj,400,1,0.0161330699920654
14,anjl 1.1.1 canonical_nj,400,2,0.0160856246948242
15,anjl 1.1.1 canonical_nj,600,0,0.0545070171356201
16,anjl 1.1.1 canonical_nj,600,1,0.0487899780273437
17,anjl 1.1.1 canonical_nj,600,2,0.050023078918457
18,anjl 1.1.1 canonical_nj,800,0,0.1114916801452636
19,anjl 1.1.1 canonical_nj,800,1,0.1112604141235351
20,anjl 1.1.1 canonical_nj,800,2,0.1101281642913818
21,anjl 1.1.1 canonical_nj,1000,0,0.2107913494110107
22,anjl 1.1.1 canonical_nj,1000,1,0.212754487991333
23,anjl 1.1.1 canonical_nj,1000,2,0.210719347000122
24,anjl 1.1.1 canonical_nj,1200,0,0.4001319408416748
25,anjl 1.1.1 canonical_nj,1200,1,0.3664512634277344
26,anjl 1.1.1 canonical_nj,1200,2,0.3602797985076904
27,anjl 1.1.1 canonical_nj,1400,0,0.5779967308044434
28,anjl 1.1.1 canonical_nj,1400,1,0.5719304084777832
29,anjl 1.1.1 canonical_nj,1400,2,0.5727910995483398
30,anjl 1.1.1 canonical_nj,1600,0,0.8579163551330566
